n_episode : 20, score : 10.2, n_buffer : 204, eps : 9.0%
n_episode : 40, score : 9.7, n_buffer : 398, eps : 8.0%
n_episode : 60, score : 9.7, n_buffer : 591, eps : 7.0%
n_episode : 80, score : 9.7, n_buffer : 784, eps : 6.0%
n_episode : 100, score : 9.5, n_buffer : 974, eps : 5.0%
n_episode : 120, score : 9.6, n_buffer : 1166, eps : 4.0%
n_episode : 140, score : 9.6, n_buffer : 1358, eps : 3.0%
n_episode : 160, score : 9.4, n_buffer : 1546, eps : 2.0%
n_episode : 180, score : 9.2, n_buffer : 1729, eps : 1.0%
n_episode : 200, score : 9.3, n_buffer : 1916, eps : 1.0%
n_episode : 220, score : 9.6, n_buffer : 2108, eps : 1.0%
n_episode : 240, score : 9.6, n_buffer : 2300, eps : 1.0%
n_episode : 260, score : 9.8, n_buffer : 2495, eps : 1.0%
n_episode : 280, score : 11.2, n_buffer : 2718, eps : 1.0%
n_episode : 300, score : 12.2, n_buffer : 2963, eps : 1.0%
n_episode : 320, score : 81.0, n_buffer : 4583, eps : 1.0%
n_episode : 340, score : 151.9, n_buffer : 7622, eps : 1.0%
n_episode : 360, score : 152.7, n_buffer n_episode : 40, score : 9.7, n_buffer : 398, eps : 8.0%ufn_episode : 60, score : 9.7, n_buffer : 591, eps : 7.0, n_episode : 80, score : 9.7, n_buffer : 784, eps : 6.025n_episode : 100, score : 9.5, n_buffer : 974, eps : 5.ren_episode : 120, score : 9.6, n_buffer : 1166, eps : 4. sn_episode : 140, score : 9.6, n_buffer : 1358, eps : 3.080n_episode : 160, score : 9.4, n_buffer : 1546, eps : 2.0: n_episode : 180, score : 9.2, n_buffer : 1729, eps : 1.0den_episode : 200, score : 9.3, n_buffer : 1916, eps : 1.0isn_episode : 220, score : 9.6, n_buffer : 2108, eps : 1.0_en_episode : 240, score : 9.6, n_buffer : 2300, eps : 1.0%
n_episode : 260, score : 9.8, n_buffer : 2495, eps : 1.01.n_episode : 280, score : 11.2, n_buffer : 2718, eps : 1. :n_episode : 300, score : 12.2, n_buffer : 2963, eps : 1.0psn_episode : 320, score : 81.0, n_buffer : 4583, eps : 1.0 en_episode : 340, score : 151.9, n_buffer : 7622, eps : 1.0,n_episode : 360, score : 152.7, n_buffer n_episode : 40, s00n_episode : 260, score : 9.8, n_buffer : 2495, eps : 1.01.n_episode : 280, score : 11.2, n_buffer : 2718, eps : 1. :n_episode : 300, score : 12.2, n_buffer : 2963, eps : 1.0psn_episode : 320, score : 81.0, n_buffer : 4583, eps : 1.0 en_episode : 340, score : 151.9, n_buffer : 7622, eps : 1.0,n_episode : 360, score : 152.7, n_buffer n_episode : 40, s00n_episode : 260, score : 9.8, n_buffer : 2495, eps : 1.01.n_episode : 280, score : 11.2, n_buffer : 2718, eps : 1. :n_episode : 300, score : 12.2, n_buffer : 2963, eps : 1.0psn_episode : 320, score : 81.0, n_buffer : 4583, eps : 1.0 en_episode : 340, score : 151.9, n_buffer : 7622, eps : 1.0,n_episode : 360, score 00, eps : 1.0%
n_episode : 920, score : 183.4, n_buffer : 50000, eps : 1.0%
n_episode : 940, score : 246.8, n_buffer : 50000, eps : 1.0%
n_episode : 960, score : 149.1, n_buffer : 50000, eps : 1.0%
n_episode : 980, score : 131.4, n_buffer : 50000, eps : 1.0%
n_episode : 1000, score : 262.9, n_buffer : 50000, eps : 1.0%
n_episode : 1020, score : 152.2, n_buffer : 50000, eps : 1.0%
n_episode : 1040, score : 152.9, n_buffer : 50000, eps : 1.0%
n_episode : 1060, score : 141.3, n_buffer : 50000, eps : 1.0%
n_episode : 1080, score : 137.9, n_buffer : 50000, eps : 1.0%
n_episode : 1100, score : 156.0, n_buffer : 50000, eps : 1.0%
n_episode : 1120, score : 154.5, n_buffer : 50000, eps : 1.0%
n_episode : 1140, score : 155.3, n_buffer : 50000, eps : 1.0%
n_episode : 1160, score : 162.1, n_buffer : 50000, eps : 1.0%
n_episode : 1180, score : 145.3, n_buffer : 50000, eps : 1.0%
n_episode : 1200, score : 144.8, n_buffer : 50000, eps : 1.0%
n_episode : 1220, score : 144.7, n_buffer : 50000, eps : 1.0%
n_episode : 1240, scoren_episode :_bn_episode : 940, score : 246.8, n_buffer : 50000, eps : 1.0n_n_episode : 960, score : 149.1, n_buffer : 50000, eps : 1.0 nn_episode : 980, score : 131.4, n_buffer : 50000, eps : 1.0, n_episode : 1000, score : 262.9, n_buffer : 50000, eps : 1.2,n_episode : 1020, score : 152.2, n_buffer : 50000, eps : 1.05,n_episode : 1040, score : 152.9, n_buffer : 50000, eps : 1.00,n_episode : 1060, score : 141.3, n_buffer : 50000, eps : 1.08,n_episode : 1080, score : 137.9, n_buffer : 50000, eps : 1.0, n_episode : 1100, score : 156.0, n_buffer : 50000, eps : 1.0 nn_episode : 1120, score : 154.5, n_buffer : 50000, eps : 1.0n_n_episode : 1140, score : 155.3, n_buffer : 50000, eps : 1.0n_n_episode : 1160, score : 162.1, n_buffer : 50000, eps : 1.0_bn_episode : 1180, score : 145.3, n_buffer : 50000, eps : 1.0bun_episode : 1200, score : 144.8, n_buffer : 50000, eps : 1.0bun_episode : 1220, score : 144.7, n_buffer : 50000, eps : 1.0bun_episode : 1240, scoren_episode :_bn_episode : 940, score :buffer : 50000, eps : 1.0%
n_episode : 1580, score : 145.3, n_buffer : 50000, eps : 1.0%
n_episode : 1600, score : 136.8, n_buffer : 50000, eps : 1.0%
n_episode : 1620, score : 140.2, n_buffer : 50000, eps : 1.0%
n_episode : 1640, score : 169.9, n_buffer : 50000, eps : 1.0%
n_episode : 1660, score : 219.9, n_buffer : 50000, eps : 1.0%
n_episode : 1680, score : 224.1, n_buffer : 50000, eps : 1.0%
n_episode : 1700, score : 242.3, n_buffer : 50000, eps : 1.0%
n_episode : 1720, score : 217.6, n_buffer : 50000, eps : 1.0%
n_episode : 1740, score : 220.8, n_buffer : 50000, eps : 1.0%
n_episode : 1760, score : 186.2, n_buffer : 50000, eps : 1.0%
n_episode : 1780, score : 203.9, n_buffer : 50000, eps : 1.0%
n_episode : 1800, score : 239.4, n_buffer : 50000, eps : 1.0%
n_episode : 1820, score : 146.8, n_buffer : 50000, eps : 1.0%
n_episode : 1840, score : 185.7, n_buffer : 50000, eps : 1.0%
n_episode : 1860, score : 236.8, n_buffer : 50000, eps : 1.0%
n_episode : 1880, score : 257.6, n_buffer : 50000, eps : 1.0%
n_epison_episode : 1580, score9,n_episode : 1600, score : 136.8, n_buffer : 50000, eps : 1.02,n_episode : 1620, score : 140.2, n_buffer : 50000, eps : 1.04,n_episode : 1640, score : 169.9, n_buffer : 50000, eps : 1.03,n_episode : 1660, score : 219.9, n_buffer : 50000, eps : 1.05,n_episode : 1680, score : 224.1, n_buffer : 50000, eps : 1.07,n_episode : 1700, score : 242.3, n_buffer : 50000, eps : 1.08,n_episode : 1720, score : 217.6, n_buffer : 50000, eps : 1.05,n_episode : 1740, score : 220.8, n_buffer : 50000, eps : 1.06,n_episode : 1760, score : 186.2, n_buffer : 50000, eps : 1.06,n_episode : 1780, score : 203.9, n_buffer : 50000, eps : 1.01,n_episode : 1800, score : 239.4, n_buffer : 50000, eps : 1.02,n_episode : 1820, score : 146.8, n_buffer : 50000, eps : 1.06,n_episode : 1840, score : 185.7, n_buffer : 50000, eps : 1.04,n_episode : 1860, score : 236.8, n_buffer : 50000, eps : 1.08,n_episode : 1880, score : 257.6, n_buffer : 50000, eps : 1.08,n_epison_episode : 1580, score9,n_episode : 1600, score : 134, n_buffer : 50000, eps : 1.0%
n_episode : 2240, score : 278.1, n_buffer : 50000, eps : 1.0%
n_episode : 2260, score : 285.1, n_buffer : 50000, eps : 1.0%
n_episode : 2280, score : 343.2, n_buffer : 50000, eps : 1.0%
n_episode : 2300, score : 397.0, n_buffer : 50000, eps : 1.0%
n_episode : 2320, score : 483.2, n_buffer : 50000, eps : 1.0%
n_episode : 2340, score : 454.4, n_buffer : 50000, eps : 1.0%
n_episode : 2360, score : 433.4, n_buffer : 50000, eps : 1.0%
n_episode : 2380, score : 336.4, n_buffer : 50000, eps : 1.0%
n_episode : 2400, score : 280.2, n_buffer : 50000, eps : 1.0%
n_episode : 2420, score : 366.4, n_buffer : 50000, eps : 1.0%
n_episode : 2440, score : 336.9, n_buffer : 50000, eps : 1.0%
n_episode : 2460, score : 309.0, n_buffer : 50000, eps : 1.0%
n_episode : 2480, score : 285.1, n_buffer : 50000, eps : 1.0%
n_episode : 2500, score : 239.2, n_buffer : 50000, eps : 1.0%
n_episode : 2520, score : 109.5, n_buffer : 50000, eps : 1.0%
n_episode : 2540, score : 130.4, n_buffer : 50000, eps : 1.0%
n_n_episode : 2240, score : 272,n_episode : 2260, score : 285.1, n_buffer : 50000, eps : 1.06,n_episode : 2280, score : 343.2, n_buffer : 50000, eps : 1.06,n_episode : 2300, score : 397.0, n_buffer : 50000, eps : 1.04,n_episode : 2320, score : 483.2, n_buffer : 50000, eps : 1.04,n_episode : 2340, score : 454.4, n_buffer : 50000, eps : 1.08,n_episode : 2360, score : 433.4, n_buffer : 50000, eps : 1.07,n_episode : 2380, score : 336.4, n_buffer : 50000, eps : 1.09,n_episode : 2400, score : 280.2, n_buffer : 50000, eps : 1.03,n_episode : 2420, score : 366.4, n_buffer : 50000, eps : 1.09,n_episode : 2440, score : 336.9, n_buffer : 50000, eps : 1.01,n_episode : 2460, score : 309.0, n_buffer : 50000, eps : 1.08,n_episode : 2480, score : 285.1, n_buffer : 50000, eps : 1.06,n_episode : 2500, score : 239.2, n_buffer : 50000, eps : 1.07,n_episode : 2520, score : 109.5, n_buffer : 50000, eps : 1.09,n_episode : 2540, score : 130.4, n_buffer : 50000, eps : 1.05,n_n_episode : 2240, score : 272,n_episode : 2260, score : 282, n_buffer : 50000, eps : 1.0%
n_episode : 2900, score : 288.9, n_buffer : 50000, eps : 1.0%
