n_episode :20, score : 18.6, n_buffer : 372, eps : 7.9%
n_episode :40, score : 15.9, n_buffer : 691, eps : 7.8%
n_episode :60, score : 17.1, n_buffer : 1032, eps : 7.7%
n_episode :80, score : 18.4, n_buffer : 1399, eps : 7.6%
n_episode :100, score : 17.6, n_buffer : 1750, eps : 7.5%
n_episode :120, score : 22.4, n_buffer : 2198, eps : 7.4%
n_episode :140, score : 15.8, n_buffer : 2515, eps : 7.3%
n_episode :160, score : 15.5, n_buffer : 2825, eps : 7.2%
n_episode :180, score : 10.0, n_buffer : 3025, eps : 7.1%
n_episode :200, score : 10.2, n_buffer : 3229, eps : 7.0%
n_episode :220, score : 10.7, n_buffer : 3442, eps : 6.9%
n_episode :240, score : 11.8, n_buffer : 3677, eps : 6.8%
n_episode :260, score : 13.0, n_buffer : 3937, eps : 6.7%
n_episode :280, score : 37.1, n_buffer : 4679, eps : 6.6%
n_episode :300, score : 99.2, n_buffer : 6663, eps : 6.5%
n_episode :320, score : 97.3, n_buffer : 8609, eps : 6.4%
n_episode :340, score : 209.2, n_buffer : 12794, eps : 6.3%
n_episode :360, score : 182.7, n_buffer : 16447, eps : 6.2%
n_episode :380, score : 171.2, n_buffer : 19872, eps : 6.1%
n_episode :400, score : 149.3, n_buffer : 22859, eps : 6.0%
n_episode :420, score : 148.1, n_buffer : 25821, eps : 5.9%
n_episode :440, score : 195.3, n_buffer : 29728, eps : 5.8%
n_episode :460, score : 153.2, n_buffer : 32793, eps : 5.7%
n_episode :480, score : 124.3, n_buffer : 35279, eps : 5.6%
n_episode :500, score : 188.2, n_buffer : 39043, eps : 5.5%
n_episode :520, score : 132.7, n_buffer : 41697, eps : 5.4%
n_episode :540, score : 156.6, n_buffer : 44829, eps : 5.3%
n_episode :560, score : 135.2, n_buffer : 47533, eps : 5.2%
n_episode :580, score : 169.7, n_buffer : 50000, eps : 5.1%
n_episode :600, score : 177.9, n_buffer : 50000, eps : 5.0%
n_episode :620, score : 161.3, n_buffer : 50000, eps : 4.9%
n_episode :640, score : 185.1, n_buffer : 50000, eps : 4.8%
n_episode :660, score : 235.7, n_buffer : 50000, eps : 4.7%
n_episode :680, score : 179.9, n_buffer : 50000, eps : 4.6%
n_episode :700, score : 136.2, n_buffer : 50000, eps : 4.5%
n_episode :720, score : 170.2, n_buffer : 50000, eps : 4.4%
n_episode :740, score : 232.8, n_buffer : 50000, eps : 4.3%
n_episode :760, score : 216.2, n_buffer : 50000, eps : 4.2%
n_episode :780, score : 226.7, n_buffer : 50000, eps : 4.1%
